Borsa_Fiyati,Sistem_Hacmi,Sebekeden_Alis,Sebekeye_Satis,Kooperatif_Tasarrufu
4.43342039825917,970.916,1152.334,0,1660.26636
4.51691825004216,754.14,1337.96,0,1289.5794
4.64470292127199,510.779,1663.471,0,873.43209
4.77282171327447,282.006,1881.644,0,482.23026
7.34014754406961,-0.1265,3498.3265,0,-0.51612
7.34016903271087,-0.1265,3053.6265,0,-0.51612
7.34017065916823,-0.1265,3024.5265,0,-0.51612
7.34016986160978,-0.1265,3038.7265,0,-0.51612
7.34017404596679,-0.1265,2965.6765,0,-0.51612
3.0899927576096,-0.1265,2969.5765,0,0.021505
3.08995987674764,-0.1265,536.2265,0,0.021505
3.08993323989091,-0.1265,322.3765,0,0.021505
3.0899385524904,-0.1265,350.2265,0,0.021505
3.08993440067597,-0.1265,328.0765,0,0.021505
3.08993374382074,-0.1265,324.8265,0,0.021505
3.08994025949132,-0.1265,360.2265,0,0.021505
3.08993625758988,-0.1265,337.6265,0,0.021505
4.97065535403478,-0.1265,330.3265,0,-0.216315
4.97066237768833,-0.1265,326.8265,0,-0.216315
4.97008492020978,-0.1265,2547.5265,0,-0.216315
4.74154506113732,406.989,2232.361,0,695.95119
4.54732544446678,860.6,1760.5,0,1471.626
4.39449914308247,1094.188,1062.812,0,1871.06148
4.34509310050282,1256.531,925.319,0,2148.66801
4.32807695864941,1274.468,846.082,0,2179.34028
4.43579715499906,947.783,1138.317,0,1620.70893
4.50760955272579,799.578,1357.822,0,1367.27838
4.74330869332899,331.958,1840.142,0,567.64818
7.34015877569334,-0.1265,3250.8765,0,-0.51612
7.34016637367317,-0.1265,3102.4265,0,-0.51612
7.340170585841,-0.1265,3025.8265,0,-0.51612
7.34017338526739,-0.1265,2976.9765,0,-0.51612
7.34017308871568,-0.1265,2982.0765,0,-0.51612
3.08999293777309,-0.1265,3045.3265,0,0.021505
3.08995841820975,-0.1265,517.4265,0,0.021505
3.08993557973001,-0.1265,334.0765,0,0.021505
